Region,project,bp_from,bp_to,km from,km to,distance,Bemerkungen,date from,date to,amount of weeks,Umsetzung /  Intervalltyp / Umleitung,reduction of capacity,bis_geopos,von Betriebspunkt
RSD,IBS AGZ_Giustizia cambio di binario,GIDI,GIDI,149.35,149.5,0.15,SPW GIDI,1/1/2025,2/25/2025,8,Sperre Strecke Nacht,0.5,"46.3235262857, 8.98219847522",Giustizia (dira),2
RSD,Concetto Macro fasi,,,,,,,2/1/2024,12/23/2026,151,Sperre Bahnhof Nacht,0.5,,,5
RSD,Phase IBN,,,,,,,,,,,,,,404
RSD,Phase A6 (GIU24),BEL,GIU,151.877,152.44,0.563,Bellinzona 892 152-12,6/10/2024,7/21/2024,6,Sperre Strecke 24 Std,0.5,"46.1738126869, 9.00360006177",Giubiasco,3
RSD,Phase B3,BEL,GIU,150.618,152.29,1.672,Bellinzona 891-881-871-W901,12/18/2025,10/7/2026,42,Sperre Strecke Nacht,0.25,"46.1738126869, 9.00360006177",Giubiasco,2
RSD,"AS25: Lugano–Melide,Binari di giro corsa",MDE,MDE,186.908,187.576,0.668,ETCS L2,6/1/2024,12/5/2025,79,Umsetzung,,"45.9557134937, 8.94835914329",Melide,0
RSD,FbE24_LG_W_34-35,LG,LG,180.2,180.4,0.2,FbE24,1/2/2024,1/22/2024,3,Sperre Strecke Nacht,0.25,"46.0055005508, 8.94699524398",Lugano,2
RSD,FbE24_CHI_W_964-966-971-972-974_GL_11-953 (Ex bin. 965),CHI,CHI,,,0.2,FbE24,1/2/2024,1/29/2024,4,Sperre Strecke Nacht,0.25,"45.8321680089, 9.0314495232",Chiasso,2
RSD,Baar: Zusäztliche 4. Perronkante,BAA,BAA,26.43,26.75,0.32,AS35,1/1/2027,12/16/2032,311,Sperre Bahnhof Nacht,0.5,"47.1953640193, 8.52327156341",Baar,5
RSD,Zug-Baar: 3. Gleis,ZG,BAA,26.7,28.25,1.55,AS35,1/1/2027,12/16/2032,311,Sperre Strecke Nacht,0.25,"47.1953640193, 8.52327156341",Baar,2
RSD,FbE24_BAA-ZG_GL_427-93,BAA,ZG,27.313,28.351,1.038,FbE24,5/1/2024,5/28/2024,4,Sperre Strecke Nacht,0.5,"47.1737069864, 8.51504936752",Zug,2
RSD,ZG- LED Roullout,ZG,ZG,28.4,39.3,,,3/1/2027,6/27/2027,17,Sperre Bahnhof Nacht,0.25,"47.1737069864, 8.51504936752",Zug,5
RSD,ZG-GD Unterhaltsfenster,ZG,GD,0.16,9.7,9.54,Unterhaltsfenster,9/23/2024,10/6/2024,2,Sperre Strecke Nacht,0.5,"47.049044874, 8.54944633996",Arth-Goldau,2
RME,Bern Ausbau Publikumsanlagen (APBB),BN,BN,96.75,106.012,0.106012,,6/30/2017,12/30/2027,548,Sperre Bahnhof 24 Std,0.25,"46.9488322725, 7.4391309556",Bern,6
RME,Cluster mit Totalsperrung,KZ,LY,85.1,100.3,0.1003,,5/4/2025,7/24/2025,6,Sperre Strecke 24 Std,1,"47.076323468, 7.30630158808",Lyss,3
RME,,DN,DN,,,0,,7/1/2026,9/1/2026,9,Sperre Bahnhof 24 Std,0.25,"47.2182258248, 7.61891295891",Deitingen,6
RME,Totalumbau Bahnhof OLH und Cargogleise,OLH,OLH,,,0,"Studie am tun, FB mit 2024 Treiber",1/1/2024,12/15/2024,50,Sperre Bahnhof 24 Std,0.5,"47.348555177, 7.89772397213",Olten Hammer,6
RME,AS30 Publikumsanlage Olten (1. Etappe),OL,OL,39,39.6,0.0396,,1/1/2027,6/13/2030,180,Sperre Strecke Nacht,0.25,"47.3519347412, 7.90769966099",Olten,2
RME,AS30/35 Aarburg-O. - Wankdorf ZfZ 3 Min.,WKD,ABO,102,42.75,0.04275,,1/1/2027,12/25/2031,260,Sperre Strecke Nacht,,"47.3202684783, 7.90822265971",Aarburg-Oftringen,2
RME,"ZEB Bern Wylerfeld, Entflechtung",BWY,LGUT OST,105,102.400 109.600,#VALUE!,,1/1/2016,7/16/2026,550,Umsetzung,0.25,,,0
RME,"AS25 Bern Ost, 2 Min.-ZfZ",BN,BWY,106.1,105.6,0.1056,,6/30/2026,10/16/2028,120,Sperre Strecke 24 Std,0.25,"46.9665979143, 7.46028541655",Bern Wyler,3
RME,FbE24 ZAE-BOE Gleis 826,ZAE,BOW,25,26.95,0.02695,,1/15/2024,12/15/2024,48,Sperre Strecke Nacht,,"46.9000482296, 7.69805348673",Bowil,2
RME,Zofingen - Emmenbrücke ZfZ,ZF,EBR,47.5,90.8,0.0908,,1/1/2026,11/15/2028,150,Sperre Strecke Nacht,0.25,"47.070601491, 8.28256532837",Emmenbrücke,2
RME,"BS, W. 332, 337, 343, 345, 351, 352",BS,BS,,,0,,1/1/2024,12/29/2024,52,Sperre Bahnhof 24 Std,1,"47.547412091, 7.58956277697",Basel SBB,6
RME,ZOF: Aufhebung BUe alte  Luzernerstrasse K104,ZF,SAF,0.5,6.8,0.0068,"Kanton Aargau plant die Aufhebung des BUe K 104, Aeussere Luzernstrasse – Aarburgerstrasse",5/15/2024,10/21/2025,75,Sperre Strecke Nacht,0.25,"47.3217579027, 7.98351818243",Safenwil,2
RME,AS35 Suhr: Kreuzungsgleis 750m,SUHR,OEF,15.3,14.4,0.0144,,1/1/2026,12/25/2030,260,Sperre Strecke Nacht,0.25,"47.3564864045, 8.04838711049",Oberentfelden,2
RME,"AS30: Knoten Lenzburg, Publikumsanlagen",LB,LB,,,0,,8/1/2024,12/25/2030,334,Sperre Bahnhof 24 Std,0.25,"47.3911997555, 8.1703928761",Lenzburg,6
RME,"SINS, BZU23 Perronerhöhung",SINS,SINS,92.35,929,ganzer Bhf,,1/1/2025,3/31/2026,65,Sperre Bahnhof Nacht,0.25,"47.188314246, 8.39783087558",Sins,5
RME,Ersatzneubau U Zürcherstrasse,MI,BNZ,82.3,84.9,0.0849,"Ersatzneubau der Unterführung Zürcherstrasse, auszuführen in Koordination mit PU Eggstrasse (ISP 1154546)",1/8/2025,12/1/2026,99,Sperre Strecke Nacht,0.25,"47.2468514591, 8.36561693375",Benzenschwil,2
RME,IB-Projekte vor 2024 Ersatzneubau PU Eggstrasse,MI,BNZ,82.3,84.9,0.0849,"Ersatzneubau der Unterführung Zürcherstrasse, auszuführen in Koordination mit PU Eggstrasse (ISP 1160217",1/8/2025,12/1/2026,99,Sperre Strecke Nacht,0.25,"47.2468514591, 8.36561693375",Benzenschwil,2
RME,FBE24 EBI Gleis 103 & 104,EBI,EBI,59,60.5,0.0605,Laufmeter mit Gleis 63/103 - 64/104 = 3000m,1/15/2024,12/15/2024,48,Sperre Bahnhof 24 Std,,"47.0842627454, 8.34235821712",Ebikon,6
RME,GSK Migration rcs95 auf RCI  von LZVH und MEG durch Zelle Luzern,EBI,EBI,52.823,58.58,0.05858,,4/2/2024,4/15/2024,2,Sperre Strecke 24 Std,,"47.0842627454, 8.34235821712",Ebikon,3
RWT,Genève : intervention anticipée 4 (réfection faisceau B),GE,GE,,,,,1/1/2024,12/28/2025,104,Sperre Strecke 24 Std,0.25,"46.2102129079, 6.14245160789",Genève,3
RWT,Morges : mise en conformité de la gare,MOR,MOR,,,,,1/1/2025,1/15/2030,263,Sperre Bahnhof 24 Std,0.25,"46.5111011525, 6.49396944931",Morges,6
RWT,Denges - Morges : 3ème voie,DEN,MOR,,,,,1/1/2024,12/27/2026,156,Sperre Strecke Nacht,0.5,"46.5111011525, 6.49396944931",Morges,2
RWT,FbE  2024 Renens - Denges voie 300,REN,DEN,5.102,7.974,2.872,,1/1/2024,3/17/2024,11,Sperre Strecke Nacht,0.25,"46.5291270593, 6.54050544475",Denges-Echandens,2
RWT,"Wako lot 1,1 FbE24 Lausanne - La Conversion",LS,CVN,1.223,3.927,2.704,,7/10/2024,9/17/2024,10,Sperre Strecke 24 Std,0.5,"46.5130844611, 6.67832353213",La Conversion,3
RWT,Turtmann. Lhand,TUR,TUR,122.11,122.11,0,,1/1/2024,12/29/2024,52,Sperre Strecke Nacht,0.5,"46.3093314059, 7.69960490297",Turtmann,2
RWT,FbE24 Staz. Della Galleria Sempione-Iselle Tun1,STDG,IS,156.64,166.304,-9.664,,1/7/2024,10/10/2026,144,Sperre Strecke Nacht,0.5,,,2
RWT,Cornaux LHAnd,CORN,CORN,82.746,84.707,-1.961,,1/1/2025,12/30/2025,52,Sperre Bahnhof Nacht,0.25,"47.0385720221, 7.02336560983",Cornaux,5
RWT,"Moutier, mise en conformité Lhand yc FbE 2023 ?",MOU,MOU,72,74,-2,"Julien Bierman, plannifié SAP  22/23",1/1/2022,10/4/2024,144,Sperre Bahnhof Tag,0.5,"47.2806724995, 7.38104432272",Moutier,4
ROT,Stw. Ersatz WE,WE,WE,,,,Stw. Ersatz WE,1/1/2025,6/9/2026,75,Umsetzung,,"47.4596382122, 8.31600613226",Wettingen,0
ROT,ZUE Teilerneuerung Brücke Langstrasse,ZUE,ZUE,,,,Was ist das???,1/1/2025,12/1/2026,100,Umsetzung,,"47.3781766923, 8.54021233623",Zürich HB,0
ROT,"FbE24 ZAS W89,93,94 Gl 535",ZAS,ZAS,,,,,3/1/2024,4/4/2024,5,Sperre Strecke Nacht,0.25,"47.3914830997, 8.48896269022",Zürich Altstetten,2
ROT,AS35 WAE Publikumsanlagen,WAE,WAE,23.2,25.05,,Sehr ambitiöse und kritische Bauphasen,4/1/2027,1/14/2032,250,Umsetzung,0.25,"47.2293072774, 8.67521627099",Wädenswil,0
ROT,PF Stw Ersatz,PF,PF,,,,im Projekt 1148732,1/1/2024,7/13/2025,80,Umsetzung,,"47.2029974431, 8.77812981895",Pfäffikon SZ,0
ROT,FbE26: RG-BIL Gl.252 (ex FbE22),RG,BIL,,,1.118,8-10 Tg Einspur,8/31/2026,11/22/2026,12,Sperre Strecke Tag,0.5,"47.152192936, 9.02991826857",Bilten,1
ROT,RUES: Umsetzung BehiG,RUES,RUES,,,0,"2 x Verläng WE Sperre HiBrü, evtl FbE hinzufügen",9/3/2023,11/2/2024,61,Umsetzung,,"47.3071318652, 8.55516269432",Rüschlikon,0
ROT,FsE ZB: FS-Anlage erneuern (ex20-22),ZB,ZB,,,0,Umfangreiches Intervallkonzept aus 2020ff in Dossier Kopiert,1/1/2025,11/16/2027,150,Umsetzung,,"47.1361559024, 9.06005168288",Ziegelbrücke,0
ROT,STAE Stw Ersatz (ex 2024),STAE,STAE,,,0,,1/1/2026,10/7/2026,40,Umsetzung,,"47.2405272079, 8.72165283054",Stäfa,0
ROT,UET_320m Furttal+BhiG,UET,UET,,,0,Termin evtl. früher,1/1/2027,12/16/2027,50,Umsetzung,,"47.259030122, 8.67878704546",Uetikon,0
ROT,A53 Zufahrt Gaster,SCME,KAB / ZB,,,0,ab 2027,1/1/2027,11/30/2028,100,Sperre Strecke Nacht,0.25,,,2
ROT,SH Stw Ersatz,SH,SH,,,0,,1/1/2027,11/30/2028,100,Umsetzung,,"47.6982814967, 8.63275579305",Schaffhausen,0
ROT,GF BehiG,GF,GF,,,0,,1/1/2026,10/7/2026,40,Umsetzung,,"47.548557954, 8.52405520291",Glattfelden,0
ROT,Fischerhölzlitunnel Sanierung,JE,NH,,,0,Anlagezustand?,1/1/2024,11/15/2026,150,Umsetzung,,"47.683133385, 8.62493454502",Neuhausen,0
ROT,"FbE24: EGL Gl. 31-1-823, W 5/6",EGL,HUEW,,,1.4,"Bedarf auf Brücke (Gl 823 = 683m) klären, Dilatation?, keine Brückenhölzer",7/18/2024,8/14/2024,4,Sperre Strecke Nacht,1,"47.581268881, 8.51284803608",Hüntwangen-Wil,2
ROT,FbE24: RZ Gl. 3,RZ,RZ,,,0.74,,9/1/2024,9/28/2024,4,Sperre Bahnhof Nacht,0.25,"47.6037967676, 8.54345146419",Rafz,5
ROT,AS35 Brüttenertunnel Abschnitt KE-W,KE,W,,,0,,1/1/2026,8/31/2033,400,Umsetzung,0.25,"47.5003337739, 8.72382110762",Winterthur,0
ROT,"AS35 OP-KL Doppelspur, 2. Perronkante KLB",OP,KL,,,0,,1/1/2024,6/13/2027,180,Umsetzung,0.25,"47.4486073311, 8.5838096454",Kloten,0
ROT,Stw Ersatz Kloten,KL,KL,,,0,,1/1/2022,11/15/2024,150,Umsetzung,,"47.4486073311, 8.5838096454",Kloten,0
ROT,EdV OWTU Erweiterung Abstellanlage Gl 109,OWTU,OWTU,,,0,ev. 1 Jahr später?,1/1/2024,10/6/2024,40,Umsetzung,,"47.5147998642, 8.76782019663",Oberwinterthur Unterhaltanlage,0
ROT,Stw Ersatz RIK,RIK,RIK,,,0,,1/1/2027,11/30/2028,100,Umsetzung,,"47.5353573659, 8.78917502501",Rickenbach-Attikon,0
ROT,Stw Ersatz ISL,ISL,ISL,,,0,,1/1/2027,11/30/2028,100,Umsetzung,,"47.5478349177, 8.84619697706",Islikon,0
ROT,FbE25 WF Gl 1-3 (ex FbE21),WF,WF,,,0.84,,10/15/2025,11/25/2025,6,Sperre Bahnhof 24 Std,0.25,"47.5662242454, 9.10636820814",Weinfelden,6
ROT,FbE25 BGL-SLG Gl 164 (ex FbE21),BGL,SLG,,,2.106,,2/10/2025,8/3/2025,25,Sperre Strecke Nacht,0.25,"47.5388040261, 9.18369439908",Sulgen,2
ROT,FbE24 SLG,SLG,SLG,,,2.3,"div Weichen, Bahnersatz SLG - Kradolf nötig, W 53-55 im Cluster Streckenumbau an WE",5/1/2024,5/28/2024,4,Sperre Strecke Nacht,0.25,"47.5388040261, 9.18369439908",Sulgen,2
ROT,AS35 WGRN neue Haltestelle,WGR,WGR,,,0,,1/1/2031,11/15/2033,150,Umsetzung,,"47.4987547049, 8.75105522894",Winterthur Grüze,0
ROT,WGR Umsetzung BehiG,WGR,WGR,,,0,,7/1/2022,12/26/2024,130,Umsetzung,,"47.4987547049, 8.75105522894",Winterthur Grüze,0
ROT,GSS Erhaltungszentrum,GSS,GSS,,,0,abhängig von 1148851 Ue Buchenwaldstr. (IBN23)+ 1158780 Erweiterung Gleisanlage GV,5/1/2024,12/16/2025,85,Umsetzung,,"47.4118315691, 9.25305071952",Gossau SG,0
ROT,FbE25 SGF W 33-36 (ex FbE21),SGF,SGF,,,0.669,,5/5/2025,6/1/2025,4,Sperre Bahnhof Nacht,,"47.4345403564, 9.39344374823",St Gallen St Fiden,5
ROT,AS25 RTH-ORT Anlageanpassung,RTH,ORT,,,0,IBN 12/24,1/1/2023,10/7/2023,40,Umsetzung,,"47.3234832152, 9.57137702646",Oberriet,0
ROT,ARN BehiG,ARN,ARN,,,0,2 Konzeptideen zur Prüfung für nächste Phase,3/1/2024,5/23/2024,12,Sperre Bahnhof Nacht,1,"47.4420016029, 9.25202496067",Arnegg,5
ROT,EdV W-NH Perronverlängerung 320m,HET,SH,,,0,,1/1/2027,5/29/2031,230,Umsetzung,0.25,"47.6982814967, 8.63275579305",Schaffhausen,0
ROT,FbE25 AN Gl 1 (ex FbE22),AN,AN,,,0.447,,3/3/2025,4/6/2025,5,Sperre Bahnhof Nacht,0.5,"47.5937661665, 8.67800163738",Andelfingen,5
ROT,AS35 BUB Abstellanlage,BUB,BUB,,,0,Start VS Sept 2020,1/1/2027,11/30/2028,100,Sperre Strecke Nacht,,"47.2708409956, 8.82271479896",Bubikon,2
ROT,AS35 FET-WZ Perronverlängerung 320m,FET,WZ,,,0,,1/1/2025,11/16/2027,150,Sperre Strecke Nacht,0.25,"47.3180315958, 8.79228970642",Wetzikon,2
ROT,SH-FT Sanierung Emmersbergtunnel,SH,FT,,,0,ev. Cluster mit Rheinbrücke?,1/1/2026,3/25/2026,12,Umsetzung,,"47.6921694419, 8.645968468",Feuerthalen,0
ROT,"STR, SU Kaltenbachstr. Km 35.089",STR,STR,35.089,35.089,0,"frühester Baustart 2027-28, MPM189551",1/1/2027,7/13/2028,80,Umsetzung,,"47.6561110013, 8.85502002864",Stein am Rhein,0
ROT,FbE25 MAM W1+7 (ex FbE22),MAM,MAM,,,0.757,,3/3/2025,4/6/2025,5,Sperre Bahnhof Nacht,1,"47.6441602007, 8.91400061948",Mammern,5
ROT,FbE24_BERG_W_9 (ex FbE22),BERG,BERG,,,0.2,"2022 in Totalsperre Herbst geplant, neu entwickeln",9/2/2024,10/27/2024,8,Sperre Bahnhof Nacht,1,"47.5822500403, 9.17452772676",Berg,5
ROT,Cluster SOB Ost 2024,HE,LSG,,,0,Totalsperre KW 28-36,7/8/2024,9/8/2024,9,Umsetzung,1,"47.3196899626, 9.08317001921",Lichtensteig,0
ROT,Rickentunnel Druckgelenksanierung,KAB,WA,,,0,Zeitlich parallell zu FbE Gl. 832,9/10/2024,12/2/2024,12,Sperre Strecke Nacht,0.25,"47.2994799951, 9.08645998773",Wattwil,2
RSD,FbE25_ER_W_40-41-48-49-49T6_GL_A3-A64,ER,ER,41.6,42.6,0.333,FbE25,9/14/2025,10/18/2025,5,Sperre Bahnhof Nacht,0.5,"46.8203393997, 8.65045465313",Erstfeld,5
RSD,FbE24_GU_W_11-12-31,GU,GU,54,54.3,0.3,FbE24,7/7/2024,7/27/2024,3,Sperre Bahnhof Nacht,0.5,"46.7293535255, 8.62247619656",Gurtnellen,5
RSD,FbE24_GOE_W_24-25-40-41-58_GL_12-22_3-43_42-52-53-54,GOE,GOE,70,71,1,FbE24,4/1/2024,6/2/2024,9,Sperre Bahnhof Nacht,0.5,"46.6658149308, 8.5888081861",Göschenen,5
RSD,FbE24_SPW Sordo_AoE_W_101-104,SORD,SORD,89.5,89.8,0.3,FbE24,7/1/2024,7/28/2024,4,Sperre Strecke Nacht,0.5,"46.5175571333, 8.64756285769",Sordo (c bin),2
RSD,FbE24_LAV_GL_3,LAV,LAV,112.1,112.7,0.6,FbE24,9/9/2024,9/29/2024,3,Sperre Bahnhof 24 Std,0.25,"46.4409016988, 8.83974736529",Lavorgo,6
RSD,UF_2024_(POLN)-(GIDI),POLN,GIDI,128,134.9,6.9,Unterhaltsfenster,9/16/2024,9/22/2024,1,Sperre Strecke Nacht,0.5,"46.3235262857, 8.98219847522",Giustizia (dira),2
RSD,"CAST, Nuovo Centro di Manutenzione Ticino",CAST,CAST,145.975,147.63,1.655,Dritte,2/1/2024,12/23/2026,151,Umsetzung,,"46.2229216623, 9.04146179352",Castione-Arbedo,0
RSD,Phase C1,BEL,GIU,151.345,152.02,0.675,Bellinzona 852-862-882-892,10/6/2026,5/31/2027,34,Sperre Strecke Tag,0.25,"46.1738126869, 9.00360006177",Giubiasco,1
RSD,VEZ-CHI ZEB ZfZ Komplett,VEZB,CAP,178.278,195.442,17.164,ETCS L2,2/1/2022,12/25/2023,99,Umsetzung,,"45.9028373055, 8.97890520587",Capolago-Riva S Vitale,0
RSD,FbE24_LG_GL_472,LG,LG,180.727,181.164,1.437,FbE24,3/1/2024,3/7/2024,1,Sperre Strecke Nacht,0.5,"46.0055005508, 8.94699524398",Lugano,2
RSD,Diverse Phasen Unterführung,LG,LG,,,,Noch nicht definiert (Risiken),1/1/2024,12/15/2024,50,Sperre Bahnhof Nacht,0.25,"46.0055005508, 8.94699524398",Lugano,5
RSD,Zug: Diverse Anpassungen,ZG,ZG,28.1,39.4,11.3,AS35,1/1/2031,12/18/2035,259,Sperre Bahnhof Nacht,0.25,"47.1737069864, 8.51504936752",Zug,5
RME,AS35 GREL-DUG Doppelspurausbau,GREL,DUG,107,111.4,0.1114,Totalsperre ohne RM,4/1/2025,9/1/2025,22,Sperre Strecke 24 Std,1,"47.4534448145, 7.60346074943",Duggingen,3
RME,"Bern West, AS25 Leistungssteigerung",BNBS,BN,94.5,96.75,0.09675,,1/9/2023,6/19/2033,545,Sperre Bahnhof 24 Std,0.5,"46.9488322725, 7.4391309556",Bern,6
RME,Flamatt–Bern Bümpliz Süd WAKO Lose 7a und 7b,BNBS,FLM,87.9,83.9,0.0839,,2/1/2022,12/2/2024,148,Sperre Strecke Nacht,,"46.8884913393, 7.31957079845",Flamatt,2
RME,"FbE24 Lyss W. 3, 4 und Gleise 32, 52, 53, 62",LY,LY,22.9,23.897,0.023897,,1/15/2024,12/15/2024,48,Sperre Bahnhof Nacht,,"47.076323468, 7.30630158808",Lyss,5
RME,"Ostermundigen, BZU23 Gleis 1,2,3 und ÖV-Knoten",OST,OST,110.6,111,0.111,Koo mit Ausbau Lötschberg-Basistunel (BLS),6/30/2023,6/24/2027,208,Sperre Strecke Nacht,0.25,"46.9568024174, 7.48149794736",Ostermundigen,2
RME,"Bern Wankdorf Süd Ostermundigen, AS25 Entflechtung",LGUT,OST,108.6,113.25,0.11325,Koo mit Ausbau Lötschberg-Basistunel (BLS),6/30/2023,11/18/2032,490,Sperre Strecke 24 Std,0.5,"46.9568024174, 7.48149794736",Ostermundigen,3
RME,FbE24 UTI-KI Gleis 420,UTI,KI,129.8,128.6,0.1286,Koo mit Gleis 424,1/15/2024,12/15/2024,48,Sperre Strecke Nacht,,"46.818943814, 7.57550132419",Kiesen,2
RME,"Migration rcs95 auf RCI, Olten Nord-Ost",ABO,LGUT,,,0,,1/15/2025,12/16/2025,48,Sperre Strecke Nacht,,"46.9805903923, 7.46595467656",Löchligut (Abzw),2
RME,,WAA,WAA,,,0,,7/1/2025,10/27/2025,17,Sperre Bahnhof Nacht,0.25,"47.2319565613, 7.65623444913",Wangen an der Aare,5
RME,Pieterlen: Umbau Bahnhof (BehiG/LHand),PIE,PIE,,,0,,1/1/2025,12/16/2025,50,Sperre Bahnhof Nacht,0.5,"47.17144119, 7.34019351187",Pieterlen,5
RME,,BIM,BIM,,,0,,1/1/2025,12/16/2025,50,Sperre Bahnhof Nacht,0.5,"47.1447253199, 7.27248728258",Biel Mett,5
RME,PU Kleinwangen,WBOL,WBOL,42.89,42.89,0.04289,"Synergie mit BZU, Hauptarbeiten 52 Std. Totalsperre",4/12/2024,4/18/2024,1,Sperre Bahnhof 24 Std,1,"47.3414007003, 7.86836046729",Wangen bei Olten,6
RME,FbE24 HB-RTW Gl. 91/368,HB,RTW,67.416,71.932,0.071932,,1/15/2024,12/15/2024,48,Sperre Strecke Nacht,,"47.1401578579, 7.69327597194",Riedtwil,2
RME,FbE24 WH_SCHA Gleis 878,WH,SCHA,78.3,78.8,0.0788,,1/15/2024,12/15/2024,48,Sperre Strecke Nacht,0.25,"47.0379733975, 8.1432588728",Schachen LU,2
RME,AS25 Zofingen-Abzw. Kriegsschlaufe ZfZ,ZF,ABO,47.5,44,0.044,,7/1/2022,12/12/2024,128,Sperre Strecke Nacht,0.25,"47.3202684783, 7.90822265971",Aarburg-Oftringen,2
RME,Abstellanlage Sursee,SS,SS,68.2,70.1,0.0701,Evtl. auch anderer Standort für Personenverkehr,1/1/2028,10/15/2032,250,Umsetzung,,"47.170795068, 8.09789385181",Sursee,0
RME,Rothenburg Überhol- / Annahmegleis GV,RBG,RBG,83.4,84.4,0.0844,,1/1/2029,11/16/2031,150,Umsetzung,,"47.0881900168, 8.24918003636",Rothenburg,0
RME,,BS,OL,,,0,Sperre DpS GREL-DUG,4/1/2025,9/1/2025,22,Umleitung,,"47.3519347412, 7.90769966099",Olten,404
RME,"BS, W. 249, 252-258K",BS,BS,,,0,,1/1/2024,12/29/2024,52,Sperre Bahnhof Nacht,0.25,"47.547412091, 7.58956277697",Basel SBB,5
RME,"BS, Gl. G11, G12",BS,BS,,,0,,1/1/2024,12/29/2024,52,Sperre Bahnhof Nacht,0.25,"47.547412091, 7.58956277697",Basel SBB,5
RME,AS35 Oberentfelden Entflechtung WSB,OEF,OEF,13.4,13.5,0.0135,,1/1/2024,8/31/2031,400,Umsetzung,,"47.3564864045, 8.04838711049",Oberentfelden,0
RME,AS35 KK: Kreuzungsgleis 1000m,KK,OEF,11.5,12.6,0.0126,,1/1/2026,12/25/2030,260,Sperre Strecke Nacht,0.25,"47.3564864045, 8.04838711049",Oberentfelden,2
RME,FbE24_W_205_206_217,OLN,OLN,,,0,,1/1/2024,12/29/2024,52,Sperre Strecke 24 Std,0.5,"47.3649707491, 7.9180571857",Olten Nord (Abzw),3
RME,"LZVH-MEGZ, Teilerneuerung Stbw 7.357",LZVH,MEGZ,7.35,7.36,0.00736,,4/1/2024,5/5/2024,5,Sperre Strecke Nacht,,"47.0451944647, 8.374393044",Meggen Zentrum,2
RME,"BZU23 MERL, Perronerhöhung",MERL,MERL,13.5,13.7,0.0137,Koo mit FbE Gleis 514,10/1/2024,12/29/2025,65,Sperre Strecke Nacht,0.25,"47.0676600027, 8.40905810777",Merlischachen,2
RME,10 WU Erneuerung LZVH - KUE (-IM),LZVH,IM,6.723,17.336,0.017336,Koo mit Sanierung eines Stützbauwerk,4/2/2024,4/15/2024,2,Sperre Strecke 24 Std,0.25,"47.0916186586, 8.46267208892",Immensee,3
RME,"HDK, BZU23 Perronerhöhung",HDK,HDK,65,65.4,ganzer Bhf,,1/1/2025,12/30/2025,52,Sperre Bahnhof Nacht,,"47.3894310909, 8.20738865977",Hendschiken,5
RME,AS35: Wohlen Gleis 1,WO,WO,71.5,72.25,0.07225,,6/1/2027,11/6/2028,75,Sperre Bahnhof 24 Std,0.25,"47.3484640448, 8.26979236531",Wohlen AG,6
RME,"FMUE-ROTS, Teilerneuerung Reussbrücke",FMUE,ROTS,63.75,63.5,0.0635,6 Wochenendsperren à ca 50h  Nachtsperren ohne Massnahmen à 3.5h   Mit Massnahmen bis 7.5h möglich.,1/1/2024,8/29/2027,191,Sperre Strecke Nacht,0.25,"47.0740670373, 8.3199743401",Rotsee (Verzw),2
RWT,RIM Satigny - Vernier ;Meyrin Cargo,,,,,,,7/1/2025,8/25/2025,8,Sperre Strecke 24 Std,0.5,,,3
RWT,Clarens - Montreux : FbE24_CL-MX_V341-342,CL,MX,24.1,25.385,-1.285,,1/1/2024,12/29/2024,52,Sperre Strecke Nacht,0.5,"46.4358843229, 6.91044006944",Montreux,2
RWT,ZEB Villeneuve-St-Maurice : amélioration du distancement,VIL,SM,30.006,51.136,-21.13,,1/1/2023,12/30/2023,52,Sperre Strecke 24 Std,0.5,"46.2163694939, 7.00204392424",St-Maurice,3
RWT,"Raron, Lhand",RAR,RAR,129.754,130.278,-0.524,,1/1/2024,12/29/2024,52,Sperre Strecke Nacht,0.5,"46.3062743875, 7.80151065367",Raron,2
RWT,"Brig, tunnel du Simplon - assainissement du tube 1",BR,STDG,157.729,166.869,-9.14,1 tube en 2023 1 tube en 2024,1/1/2024,12/1/2024,48,Sperre Strecke 24 Std,0.5,"46.2723377046, 8.09349478399",Staz della Galleria Sempione,3
RWT,"LHE, assainissement pont Saissenais",LHE,LHE,45.201,,,Frédéric Restani,1/1/2024,12/29/2024,52,Sperre Strecke Tag,0.5,"47.1894917627, 7.22539576798",La Heutte,1
ROT,Umleitung BU-RH-W (DS Rheintal),BU,W,,,,,1/1/2024,12/29/2024,52,Umleitung,,"47.5003337739, 8.72382110762",Winterthur,404
ROT,Sanierung Zimmerberg- / Albistunnel,SBG,SBG,,,,"Vorstellung Studie 14.05. PZ Ost, Variantenentschei 08/20 immer noch offen!",8/1/2024,12/3/2025,70,Sperre Strecke Nacht,0.25,"47.2384279078, 8.5770589292",Sihlbrugg,2
ROT,KLW Umbau UW,KLW,KLW,,,,,1/1/2024,11/30/2025,100,Umsetzung,,"47.4333288409, 8.35421393402",Killwangen-Spreitenbach,0
ROT,Stw Ersatz DT (2027?),DT,DT,,,,Stw. Ersatz DO 67: 2027-30,6/22/2027,12/2/2030,180,Umsetzung,,"47.405783798, 8.40498813474",Dietikon,0
ROT,Stw Ersatz ZAS (2029?),ZAS,ZAS,,,,Stw. Ersatz DO 67: 2027-30,6/22/2027,12/2/2030,180,Umsetzung,,"47.3914830997, 8.48896269022",Zürich Altstetten,0
