Abbreviation of the operating point,Name of the operating point,Abkuerzung Betriebspunkt Strecke,Name of operating point distance,LINIE,Kilometry of the operating point,LINIENNAME,VERWALTUNG,E,N,BPUIC,Didok Nummer,Name Haltestelle,lod,geopos_x,geopos_y
BAV,Bavois,BAV,Bavois,210,24.878220000000002,Daillens - Biel/Bienne,SBB,2532735.272,1171095.884,8501113,1113,Bavois,http://lod.opentransportdata.swiss/didok/8501113,46.6876798742,6.55933482681
BDFW,Burgdorf West (Abzw),BDF,Burgdorf,440,21.36394,Burgdorf West - Obermatt,SBB,2613441.006,1212255.137,8515377,15377,Burgdorf West (Abzw),http://lod.opentransportdata.swiss/didok/8515377,47.0611837843,7.61555617745
BEX,Bex,BEX,Bex,127,0.0,Bex - Villars,SBB,2566224.453,1122320.503,8501402,1402,Bex,http://lod.opentransportdata.swiss/didok/8501402,46.2514645551,7.00066986367
BEZ,Beznau (Agl),BEZ,Beznau (Agl),702,35.64741,Turgi - Koblenz - Waldshut,SBB,2661213.001,1268107.077,8503541,3541,Beznau (Agl),http://lod.opentransportdata.swiss/didok/8503541,47.5608242134,8.25197531598
BFG,Bifang AG (Spw),RTR,Rothrist,451,44.86,Aarburg-Oftringen - Rothrist Gleis 1,SBB,2634573.761,1240099.749,8516022,16022,Bifang AG (Spw),http://lod.opentransportdata.swiss/didok/8516022,47.310870179,7.8958578897
BGS,Brugg AG Sud (Abzw),BGS,Brugg AG Sud (Abzw),648,31.135890000000003,Brugg Sud - Brugg Nord (VL),SBB,2658007.844,1258195.674,8500342,342,Brugg AG Süd (Abzw),http://lod.opentransportdata.swiss/didok/8500342,47.471977722,8.20809941079
BIAE,Biel/Bienne Aebistrasse,BI,Biel/Bienne,268,98.84323,Biel Depot Ost - Biel Aebistrasse,SBB,2585613.313,1219980.517,8515304,15304,Biel/Bienne Aebistrasse,http://lod.opentransportdata.swiss/didok/8515304,47.1306497899,7.24900952346
BIBD,Biel/Bienne Bozingenfeld/Champ,BIBD,Biel/Bienne Bozingenfeld/Champ,410,93.98099,Olten - Solothurn - Biel/Bienne,SBB,2589081.665,1223056.272,8518771,18771,Biel/Bienne Bözingenfeld/Champ,http://lod.opentransportdata.swiss/didok/8518771,47.1583822841,7.29464806685
BIDO,Biel/Bienne Depot Ost,BI,Biel/Bienne,268,98.11,Biel Depot Ost - Biel Aebistrasse,SBB,2586324.0209999997,1220005.013,8515305,15305,Biel/Bienne Depot Ost,http://lod.opentransportdata.swiss/didok/8515305,47.1308852303,7.25837605528
BIO,Biel/Bienne Ost,BI,Biel/Bienne,265,97.62187,Biel Mett Abzweigung - Biel/Bienne Ost,SBB,2586391.131,1220646.8059999999,8515307,15307,Biel/Bienne Ost,http://lod.opentransportdata.swiss/didok/8515307,47.1366594938,7.25924112237
BLG,Baldegg,BLG,Baldegg,651,15.92736,Hubeli - Beinwil - Lenzburg,SBB,2663786.6780000003,1226423.5320000001,8502025,2025,Baldegg,http://lod.opentransportdata.swiss/didok/8502025,47.185688941,8.28023153445
BN,Bern,BN,Bern,220,0.10552,Bern - Neuchatel Est (bif),SBB,2600037.945,1199749.812,8507000,7000,Bern,http://lod.opentransportdata.swiss/didok/8507000,46.9488322725,7.4391309556
BN,Bern,BN,Bern,450,106.15556000000001,Olten Sud - Bern,SBB,2600037.945,1199749.812,8507000,7000,Bern,http://lod.opentransportdata.swiss/didok/8507000,46.9488322725,7.4391309556
BNBS,Bern Bumpliz Sud,BNBS,Bern Bumpliz Sud,250,92.99537,Lausanne Est - Bern,SBB,2596695.699,1198489.557,8504106,4106,Bern Bümpliz Süd,http://lod.opentransportdata.swiss/didok/8504106,46.937487503,7.39523796561
BNWF,Bern Wylerfeld,BNWF,Bern Wylerfeld,450,103.32913,Olten Sud - Bern,SBB,2601687.7090000003,1201729.087,8507001,7001,Bern Wylerfeld,http://lod.opentransportdata.swiss/didok/8507001,46.9666342489,7.46080853106
BOCS,Bodio cunicolo di aggira. sud,BOCS,Bodio cunicolo di aggira. sud,5005,0.0,Bodio cunicolo di aggiramento,SBB,2714570.389,1136764.361,8518496,18496,Bodio cunicolo di aggira sud,http://lod.opentransportdata.swiss/didok/8518496,46.3724729729,8.92769649967
BOT,Bottighofen,BOT,Bottighofen,824,97.51655,Romanshorn - Konstanz,SBB,2733337.72,1278179.914,8506127,6127,Bottighofen,http://lod.opentransportdata.swiss/didok/8506127,47.6407072085,9.21310411309
BOV,Boveresse,BOV,Boveresse,219,29.47,Auvernier - Les Verrieres frontiere,SBB,2535771.652,1196781.06,8504213,4213,Boveresse,http://lod.opentransportdata.swiss/didok/8504213,46.9190139335,6.59540904462
BRGG,Brunegg,BRGG,Brunegg,647,7.0362,Brugg - Hendschiken Nord,SBB,2659089.544,1252473.086,8519041,19041,Brunegg,http://lod.opentransportdata.swiss/didok/8519041,47.4204148342,8.22169003246
BRU,Brunnen,BRU,Brunnen,600,20.5245,Immensee - Bellinzona - Chiasso,SBB,2689093.523,1206010.966,8505007,5007,Brunnen,http://lod.opentransportdata.swiss/didok/8505007,46.9991749495,8.61006762236
BSC,Bassecourt,BSC,Bassecourt,240,93.49732,Delemont - Delle,SBB,2585505.492,1242887.574,8500122,122,Bassecourt,http://lod.opentransportdata.swiss/didok/8500122,47.3366868408,7.24684620718
BSDO,Bassersdorf Ost (Vzw),BSDO,Bassersdorf Ost (Vzw),9783,252.16226,Bruttenertunnel Sud,SBB,2689955.1,1254784.65,8508328,8328,Bassersdorf Ost (Vzw),http://lod.opentransportdata.swiss/didok/8508328,47.4377095751,8.63113963011
BSHA,Hagnau (Abzw),BSJA,Basel St. Jakob,521,2.7612099999999997,Umfahrung Sud: Basel SBB RB I - Muttenz,SBB,2613883.909,1265661.376,8505032,5032,Hagnau (Abzw),http://lod.opentransportdata.swiss/didok/8505032,47.5415318905,7.62303095533
BSO,Basel SBB Ost (Abzw),BS,Basel SBB,500,0.531,Basel SBB - Olten - Luzern,SBB,2611819.423,1266035.449,8515387,15387,Basel SBB Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515387,47.5449363773,7.5956199098
BUB,Bubikon,BUB,Bubikon,740,68.65925,Rapperswil - Uster - Wallisellen Ost,SBB,2704732.083,1236472.122,8503122,3122,Bubikon,http://lod.opentransportdata.swiss/didok/8503122,47.2708409956,8.82271479896
BUC,Buckten,BUC,Buckten,503,28.815,Sissach - Laufelfingen - Olten,SBB,2630883.119,1250988.798,8500034,34,Buckten,http://lod.opentransportdata.swiss/didok/8500034,47.4089910659,7.84780054441
BUER,Buren an der Aare,BUER,Buren an der Aare,415,95.71034,Wanzwil (Abzw) - Solothurn - Busswil,SBB,2594888.031,1220799.832,8500221,221,Büren an der Aare,http://lod.opentransportdata.swiss/didok/8500221,47.1381570944,7.37124281735
BUS,Busswil,BUS,Busswil,415,101.86418,Wanzwil (Abzw) - Solothurn - Busswil,SBB,2590889.477,1216416.348,8504415,4415,Busswil,http://lod.opentransportdata.swiss/didok/8504415,47.098684869,7.31862292512
BWMS,Bern Weyermannshaus (Spw),BWMS,Bern Weyermannshaus (Spw),220,2.2339700000000002,Bern - Neuchatel Est (bif),BLS,2598104.087,1199793.487,8515647,15647,Bern Weyermannshaus (Spw),http://lod.opentransportdata.swiss/didok/8515647,46.9492222633,7.41372841447
BYE,Bussigny Est (bif),BY,Bussigny,200,6.33829,Renens VD Ouest - Vallorbe,SBB,2532488.449,1155231.902,8515312,15312,Bussigny Est (bif),http://lod.opentransportdata.swiss/didok/8515312,46.5449587809,6.55843914447
BZN,Bischofszell Nord,BZN,Bischofszell Nord,852,6.783239999999999,Sulgen - Gossau SG,SBB,2735267.2369999997,1262620.7759999998,8506215,6215,Bischofszell Nord,http://lod.opentransportdata.swiss/didok/8506215,47.5004152503,9.23403531753
CAMO,Camorino (dira),CAMO,Camorino (dira),580,227.65367,CBT Est,SBB,2719599.595,1112679.259,8515733,15733,Camorino (dira),http://lod.opentransportdata.swiss/didok/8515733,46.1549772943,8.98686665328
CAMO,Camorino (dira),CAMO,Camorino (dira),593,227.65367,Verbindungslinie CBT Est Camorino,SBB,2719599.595,1112679.259,8515733,15733,Camorino (dira),http://lod.opentransportdata.swiss/didok/8515733,46.1549772943,8.98686665328
CAP,Capolago-Riva S. Vitale,CAP,Capolago-Riva S. Vitale,600,194.61388,Immensee - Bellinzona - Chiasso,SBB,2719534.9839999997,1084642.939,8505304,5304,Capolago-Riva S Vitale,http://lod.opentransportdata.swiss/didok/8505304,45.9028373055,8.97890520587
CAST,Castione-Arbedo,CAST,Castione-Arbedo,600,147.525,Immensee - Bellinzona - Chiasso,SBB,2723662.151,1120315.449,8505212,5212,Castione-Arbedo,http://lod.opentransportdata.swiss/didok/8505212,46.2229216623,9.04146179352
CHE,Chenens,CHE,Chenens,250,49.622,Lausanne Est - Bern,SBB,2566515.858,1177652.068,8504025,4025,Chénens,http://lod.opentransportdata.swiss/didok/8504025,46.7492108071,7.00042967076
CHIB,Chiasso Ovest (bif),CHI,Chiasso,629,206.37929,Chiasso SM - Gruppo S - Chiasso,SBB,2723418.2539999997,1077043.041,8515392,15392,Chiasso Ovest (bif),http://lod.opentransportdata.swiss/didok/8515392,45.8337908649,9.02694664324
CHIB,Chiasso Ovest (bif),CHI,Chiasso,637,206.36805,Chiasso Smistamento - Chiasso,SBB,2723418.2539999997,1077043.041,8515392,15392,Chiasso Ovest (bif),http://lod.opentransportdata.swiss/didok/8515392,45.8337908649,9.02694664324
CHIG,Chiggiogna (c bin),CHIG,Chiggiogna (c bin),600,109.3837,Immensee - Bellinzona - Chiasso,SBB,2706401.461,1147073.312,8505243,5243,Chiggiogna (c bin),http://lod.opentransportdata.swiss/didok/8505243,46.4665390635,8.82391437499
CHNE,Chatelaine (bif),CHNE,Chatelaine (bif),150,63.98053,Lausanne - Geneve-Aeroport,SBB,2496907.199,1119288.56,8501027,1027,Châtelaine (bif),http://lod.opentransportdata.swiss/didok/8501027,46.2171294664,6.10260397474
CHP,Yverdon-Champ Pittet,CHP,Yverdon-Champ Pittet,252,1.78,Yverdon Est - Payerne,SBB,2540717.258,1181514.0359999998,8504144,4144,Yverdon-Champ Pittet,http://lod.opentransportdata.swiss/didok/8504144,46.7821496298,6.66232014389
CHSN,Chiasso Smistamento Nord (bif),CHSM,Chiasso Smistamento,637,204.4003,Chiasso Smistamento - Chiasso,SBB,2721646.4669999997,1077852.59,8515394,15394,Chiasso Smistamento Nord (bif),http://lod.opentransportdata.swiss/didok/8515394,45.841391918,9.00435921039
COP,Coppet,COP,Coppet,150,47.00292,Lausanne - Geneve-Aeroport,SBB,2503660.649,1130324.449,8501023,1023,Coppet,http://lod.opentransportdata.swiss/didok/8501023,46.3173935799,6.18782739372
CORF,Cornaux fin des voies,CORI,Cornaux industrie,216,2.0,Cornaux - Raffinerie - Juracime,SBB,2568899.963,1208925.489,8516195,16195,Cornaux fin des voies,http://lod.opentransportdata.swiss/didok/8516195,47.0306351709,7.02948902977
CT,Court,CT,Court,226,67.04431,Sonceboz-Sombeval - Moutier - Delemont,SBB,2592692.1459999997,1232191.49,8500104,104,Court,http://lod.opentransportdata.swiss/didok/8500104,47.2406009157,7.34210993055
CTY,Courtelary,CTY,Courtelary,225,56.46951,Biel/Bienne West - La Chaux-de-Fonds,SBB,2571964.557,1225030.275,8504307,4307,Courtelary,http://lod.opentransportdata.swiss/didok/8504307,47.1756314985,7.06880330987
CVT,Couvet CFF,CVT,Couvet CFF,219,26.043129999999998,Auvernier - Les Verrieres frontiere,SBB,2538725.296,1198013.848,8504214,4214,Couvet CFF,http://lod.opentransportdata.swiss/didok/8504214,46.9303820444,6.63401705198
DENA,Denges A (bif),DEN,Denges-Echandens,150,8.26747,Lausanne - Geneve-Aeroport,SBB,2531193.53,1153533.643,8515322,15322,Denges A (bif),http://lod.opentransportdata.swiss/didok/8515322,46.5295507619,6.54181125414
DER,Derendingen,DER,Derendingen,415,77.25482,Wanzwil (Abzw) - Solothurn - Busswil,SBB,2610871.476,1227961.334,8500226,226,Derendingen,http://lod.opentransportdata.swiss/didok/8500226,47.2025051101,7.58210903585
DMTE,Delemont Est,DMT,Delemont,226,84.24922,Sonceboz-Sombeval - Moutier - Delemont,SBB,2593657.9480000003,1245771.822,8515324,15324,Delémont Est,http://lod.opentransportdata.swiss/didok/8515324,47.3627585367,7.35467131014
DOR,Dornach-Arlesheim,DOR,Dornach-Arlesheim,230,115.45125,Delemont Est - Basel SBB Ost,SBB,2612999.944,1259776.226,8500118,118,Dornach-Arlesheim,http://lod.opentransportdata.swiss/didok/8500118,47.4886198721,7.61111888889
DORF,Dorfnest (Abzw),DORF,Dorfnest (Abzw),750,13.37408,ZH Oerlikon Nord - Dorfnest,SBB,2688318.7389999996,1255390.3190000001,8503337,3337,Dorfnest (Abzw),http://lod.opentransportdata.swiss/didok/8503337,47.4433780357,8.60956981715
DU,Dulliken,DU,Dulliken,540,42.94104,Olten - Woschnau,SBB,2638371.93,1244949.074,8502110,2110,Dulliken,http://lod.opentransportdata.swiss/didok/8502110,47.3542761012,7.94650133082
DUE,Dubendorf,DUE,Dubendorf,740,90.4432,Rapperswil - Uster - Wallisellen Ost,SBB,2689436.13,1250592.555,8503128,3128,Dübendorf,http://lod.opentransportdata.swiss/didok/8503128,47.400080315,8.62342174323
ECU,Ecublens-Rue,ECU,Ecublens-Rue,251,30.61342,Palezieux Est - Lyss Nord,SBB,2551921.982,1162323.311,8504018,4018,Ecublens-Rue,http://lod.opentransportdata.swiss/didok/8504018,46.6104302306,6.81105495524
EF,Effretikon,EF,Effretikon,751,16.82121,ZH Langstr. - Wallisellen - Winterthur,SBB,2694165.311,1253527.158,8503305,3305,Effretikon,http://lod.opentransportdata.swiss/didok/8503305,47.425812078,8.68667913161
EFG,Effingen,EFG,Effingen,700,42.43553,Brugg - Pratteln Ost,SBB,2649906.054,1258630.995,8500307,307,Effingen,http://lod.opentransportdata.swiss/didok/8500307,47.4765572477,8.10068305444
EGW,Eggwald (Spw),EGW,Eggwald (Spw),600,66.62448,Immensee - Bellinzona - Chiasso,SBB,2688356.1560000004,1172590.317,8505142,5142,Eggwald (Spw),http://lod.opentransportdata.swiss/didok/8505142,46.6986771741,8.59390491707
ENT,Entlebuch,ENT,Entlebuch,460,66.36673,Gumligen Sud - Fluhmuhle,SBB,2647444.0730000003,1204925.213,8508213,8213,Entlebuch,http://lod.opentransportdata.swiss/didok/8508213,46.9936933292,8.06236428913
EP,Ependes,EP,Ependes,210,32.69977,Daillens - Biel/Bienne,SBB,2536501.324,1177584.6840000001,8501110,1110,Ependes,http://lod.opentransportdata.swiss/didok/8501110,46.7464160747,6.60766182265
EPS,Epesses,EPS,Epesses,100,9.97763,Lausanne - Simplon Tunnel I - Iselle,SBB,2546755.241,1148904.103,8501125,1125,Epesses,http://lod.opentransportdata.swiss/didok/8501125,46.4893287681,6.74516602144
ER,Erstfeld,ER,Erstfeld,600,41.5832,Immensee - Bellinzona - Chiasso,SBB,2692471.939,1186178.841,8505114,5114,Erstfeld,http://lod.opentransportdata.swiss/didok/8505114,46.8203393997,8.65045465313
ESB,Eschenbach,ESB,Eschenbach,651,8.567,Hubeli - Beinwil - Lenzburg,SBB,2667078.929,1220534.495,8502022,2022,Eschenbach,http://lod.opentransportdata.swiss/didok/8502022,47.1323960447,8.32279074573
ESEE,Ermensee,ESEE,Ermensee,651,21.86913,Hubeli - Beinwil - Lenzburg,SBB,2660862.889,1231285.124,8502019,2019,Ermensee,http://lod.opentransportdata.swiss/didok/8502019,47.2296905797,8.24231443624
EW,Etzwilen,EW,Etzwilen,819,31.80917,Etzwilen - Singen,SBB,2703658.811,1279856.088,8506025,6025,Etzwilen,http://lod.opentransportdata.swiss/didok/8506025,47.6611446979,8.81861733248
EW,Etzwilen,EW,Etzwilen,820,31.80917,Etzwilen - Schaffhausen,SBB,2703658.811,1279856.088,8506025,6025,Etzwilen,http://lod.opentransportdata.swiss/didok/8506025,47.6611446979,8.81861733248
FB,Feldbach,FB,Feldbach,730,31.403640000000003,Zurich Stadelhofen - Rapperswil,SBB,2701825.1610000003,1232903.634,8503109,3109,Feldbach,http://lod.opentransportdata.swiss/didok/8503109,47.2392035255,8.78349775224
FCK,Frick,FCK,Frick,700,51.8468,Brugg - Pratteln Ost,SBB,2643278.559,1262002.488,8500305,305,Frick,http://lod.opentransportdata.swiss/didok/8500305,47.5073485419,8.0130924763
FF,Frauenfeld,FF,Frauenfeld,843,42.05133,Frauenfeld - Frauenfeld Paketpost,SBB,2709725.5939999996,1268513.356,8506100,6100,Frauenfeld,http://lod.opentransportdata.swiss/didok/8506100,47.5581634412,8.89655962127
FISH,Fischerholzli,FISH,Fischerholzli,770,37.73,Bulach - Eglisau - Neuhausen,SBB,2687552.269,1281031.6609999998,8518156,18156,Fischerhölzli,http://lod.opentransportdata.swiss/didok/8518156,47.6740655494,8.60445997192
FMUE,Fluhmuhle (Abzw),FMUE,Fluhmuhle (Abzw),660,64.00891,Thalwil - Zug - Fluhmuhle,SBB,2664443.1890000002,1212078.436,8505043,5043,Fluhmühle (Abzw),http://lod.opentransportdata.swiss/didok/8505043,47.0566007468,8.28684763509
FOU,Founex,FOU,Founex,150,45.63586,Lausanne - Geneve-Aeroport,SBB,2504185.665,1131582.423,8501016,1016,Founex,http://lod.opentransportdata.swiss/didok/8501016,46.3287835847,6.19438330424
FRAE,Fraschels,FRAE,Fraschels,251,87.67316,Palezieux Est - Lyss Nord,SBB,2582309.615,1205367.49,8504401,4401,Fräschels,http://lod.opentransportdata.swiss/didok/8504401,46.999126088,7.20603999571
FRIN,Frinvillier-Taubenloch,FRIN,Frinvillier-Taubenloch,225,39.11025,Biel/Bienne West - La Chaux-de-Fonds,SBB,2586269.732,1224293.4640000002,8504301,4301,Frinvillier-Taubenloch,http://lod.opentransportdata.swiss/didok/8504301,47.1694577606,7.25752924997
FSMS,Faido SMF Sud,FSMF,Faido SMF,595,140.85971,GBT Ost,SBB,2705642.9269999997,1150107.237,8518325,18325,Faido SMF Süd,http://lod.opentransportdata.swiss/didok/8518325,46.4939470012,8.81473359235
FUBI,Furet (bif),FUBI,Furet (bif),154,0.0,Furet - Jonction,SBB,2497887.71,1118340.74,8501028,1028,Furet (bif),http://lod.opentransportdata.swiss/didok/8501028,46.2087541607,6.11551600358
GA,Gampel-Steg,GA,Gampel-Steg,100,125.8725,Lausanne - Simplon Tunnel I - Iselle,SBB,2623800.461,1128392.119,8501603,1603,Gampel-Steg,http://lod.opentransportdata.swiss/didok/8501603,46.3065154899,7.74758115014
GD,Arth-Goldau,GD,Arth-Goldau,600,8.86435,Immensee - Bellinzona - Chiasso,SBB,2684404.807,1211487.521,8505004,5004,Arth-Goldau,http://lod.opentransportdata.swiss/didok/8505004,47.049044874,8.54944633996
GD,Arth-Goldau,GD,Arth-Goldau,602,0.0,Arth Goldau - Rigi Kulm,SBB,2684404.807,1211487.521,8505004,5004,Arth-Goldau,http://lod.opentransportdata.swiss/didok/8505004,47.049044874,8.54944633996
GDNW,Arth-Goldau Nordwest,GD,Arth-Goldau,666,8.872119999999999,Goldau Nord - Goldau Ost,SBB,2684412.861,1211511.327,8515396,15396,Arth-Goldau Nordwest,http://lod.opentransportdata.swiss/didok/8515396,47.0492579986,8.54955670423
GE,Geneve,GE,Geneve,150,60.260630000000006,Lausanne - Geneve-Aeroport,SBB,2499968.949,1118468.129,8501008,1008,Genève,http://lod.opentransportdata.swiss/didok/8501008,46.2102129079,6.14245160789
GELL,Gellert,GELL,Gellert,520,2.25128,Gellert - Basel Bad DB,SBB,2613310.27,1266514.711,8500045,45,Gellert,http://lod.opentransportdata.swiss/didok/8500045,47.5492183321,7.61543719001
GELW,Gellert West (Abzw),GELL,Gellert,520,1.5213,Gellert - Basel Bad DB,SBB,2612755.183,1266154.824,8515400,15400,Gellert West (Abzw),http://lod.opentransportdata.swiss/didok/8515400,47.5459925428,7.60805304516
GEV,Geneve-Eaux-Vives,GEV,Geneve-Eaux-Vives,152,70.45,St-Jean - Geneve-Eaux-Vives - Annemasse,SBB,2501814.213,1117463.107,8516273,16273,Genève-Eaux-Vives,http://lod.opentransportdata.swiss/didok/8516273,46.2014454331,6.16656954867
GEXO,Gexi Ost (Abzw),GEXI,Gexi,653,64.08259,Gexi Ost - Rotkreuz - Immensee West,SBB,2657123.07,1249394.057,8515401,15401,Gexi Ost (Abzw),http://lod.opentransportdata.swiss/didok/8515401,47.3928962991,8.19523837476
GIDI,Giustizia (dira),GIDI,Giustizia (dira),595,164.01608000000002,GBT Ost,SBB,2718870.376,1131405.308,8515717,15717,Giustizia (dira),http://lod.opentransportdata.swiss/didok/8515717,46.3235262857,8.98219847522
GIOC,Giornico (c bin),GIOC,Giornico (c bin),600,121.12163999999999,Immensee - Bellinzona - Chiasso,SBB,2709999.191,1140515.867,8505245,5245,Giornico (c bin),http://lod.opentransportdata.swiss/didok/8505245,46.4069794769,8.86918762871
GIUS,Giubiasco Sud (bif),GIU,Giubiasco,600,154.35756,Immensee - Bellinzona - Chiasso,SBB,2720610.772,1114594.572,8515402,15402,Giubiasco Sud (bif),http://lod.opentransportdata.swiss/didok/8515402,46.1720229572,9.00044654869
GIUS,Giubiasco Sud (bif),GIU,Giubiasco,630,154.35756,Giubiasco - Locarno,SBB,2720610.772,1114594.572,8515402,15402,Giubiasco Sud (bif),http://lod.opentransportdata.swiss/didok/8515402,46.1720229572,9.00044654869
GIV,Givisiez,GIV,Givisiez,253,46.269,Payerne Est - Fribourg Nord,SBB,2576443.215,1185113.604,8504181,4181,Givisiez,http://lod.opentransportdata.swiss/didok/8504181,46.8167559122,7.12996158704
GIVO,Givisiez Ouest,GIV,Givisiez,255,4.45671,Givisiez - Murten,SBB,2575658.841,1185116.939,8505943,5943,Givisiez Ouest,http://lod.opentransportdata.swiss/didok/8505943,46.8167576302,7.11968349951
GL,Glarus,GL,Glarus,736,68.60283000000001,Ziegelbrucke Ost - Linthal Gleisende,SBB,2724094.153,1211167.426,8503230,3230,Glarus,http://lod.opentransportdata.swiss/didok/8503230,47.0399241801,9.07156637499
GMT,Gruemet (Abzw),GMT,Gruemet (Abzw),650,22.836879999999997,Killwangen West - Lenzburg - Daniken Ost,SBB,2662628.057,1253220.563,8502131,2131,Gruemet (Abzw),http://lod.opentransportdata.swiss/didok/8502131,47.4268103009,8.2686845268
GMT,Gruemet (Abzw),GMT,Gruemet (Abzw),703,50.64735,ZH Oerlikon Nord - Wettingen - Gruemet,SBB,2662628.057,1253220.563,8502131,2131,Gruemet (Abzw),http://lod.opentransportdata.swiss/didok/8502131,47.4268103009,8.2686845268
GOE,Goschenen,GOE,Goschenen,600,70.44657,Immensee - Bellinzona - Chiasso,SBB,2688019.933,1168931.801,8505119,5119,Göschenen,http://lod.opentransportdata.swiss/didok/8505119,46.6658149308,8.5888081861
